name,score
Lachlan,2
s,0
Lachlan,0
Lachlan,0
Lachlan,0
Lachlan,0
L,2
aL,2
aL,0
aL,0
aL,1
aL,0
L,1
L,0
L,0
L,1
L,0
L,0
a,0
a,0
a,0
a,0
a,3
Lachlan,1
Lachlan,1
a,0
L,1
L,2
L,0
L,0
L,0
L,0
L,0
L,0
a,4
a,0
a,0
a,0
a,0
a,0
a,0
a,0
a,0
a,1
a,0
a,1
a,0
L,5
L,0
L,0
L,0
a,3
Lachlan,1
Lachlan,6
Lachlan,8
a,0
a,0
a,0
Lachlan,6
Lachlan,0
Lachlan,2
Lachlan,0
Lachlan,2
Lachlan,0
Lachlan,2
Jess,0
Jess,2
Lachlan,2
Lachlan,2
Lachlan,2
a,2
Lachlan,0
Lachlan,2
Lachlan,0
Lachlan,2
